"Cluster","Image"
"1032","22","X3453022.png"
"1033","21","X3453024.png"
"1034","6","X3453032.png"
"1035","4","X3453034.png"
"1036","13","X3453035.png"
"1037","8","X3453039.png"
"1038","1","X3453043.png"
"1039","15","X3453046.png"
"1040","4","X3453047.png"
"1041","7","X3453504.png"
"1042","3","X3453507.png"
"1043","17","X3453511.png"
"1044","18","X3453515.png"
"1045","7","X3453517.png"
"1046","11","X3453520.png"
"1047","14","X3453521.png"
"1048","4","X3453530.png"
"1049","25","X3453535.png"
"1050","15","X3453536.png"
"1051","17","X3453994.png"
"1052","3","X3453995.png"
"1053","1","X3453997.png"
"1054","13","X3453999.png"
"1055","3","X3454005.png"
"1056","3","X3454008.png"
"1057","1","X3454009.png"
"1058","3","X3454013.png"
"1059","1","X3454014.png"
"1060","8","X3454026.png"
"1061","3","X3454714.png"
"1062","5","X3454720.png"
"1063","1","X3454721.png"
"1064","3","X3454723.png"
"1065","8","X3454729.png"
"1066","1","X3454736.png"
"1067","22","X3454740.png"
